game_id,team,passer_id,dropbacks,qb_epa
2020_16_TEN_GB,TEN,00-0029701,28,-8.06905114609981
2020_16_TEN_GB,TEN,00-0034438,2,-1.4844779600389302
2020_17_ARI_LA,ARI,00-0035228,13,2.809115658161904
2020_17_ARI_LA,ARI,00-0035752,18,-13.418105398392072
2020_17_ARI_LA,LA,00-0034899,42,-0.3347093695741856
2020_17_ATL_TB,ATL,00-0026143,45,12.510810213981033
2020_17_ATL_TB,TB,00-0019596,42,21.974029613507184
2020_17_BAL_CIN,BAL,00-0034796,23,9.824102622340433
2020_17_BAL_CIN,BAL,00-0035993,1,0.574866310460493
2020_17_BAL_CIN,CIN,00-0032434,21,-24.306059837313384
2020_17_DAL_NYG,DAL,00-0027973,57,-8.76665567905585
2020_17_DAL_NYG,NYG,00-0035710,29,2.7949935854497316
2020_17_GB_CHI,CHI,00-0033869,45,-2.4613663017957004
2020_17_GB_CHI,GB,00-0023459,26,20.78336356912041
2020_17_JAX_IND,IND,00-0022942,28,0.9766895178531119
2020_17_JAX_IND,JAX,00-0030520,48,-12.60002383030951
2020_17_LAC_KC,KC,00-0026197,33,12.932485629164148
2020_17_LAC_KC,LAC,00-0036355,36,20.77815570939868
2020_17_LV_DEN,DEN,00-0035704,45,4.956222716631165
2020_17_LV_DEN,LV,00-0031280,42,8.04644317871146
2020_17_MIA_BUF,BUF,00-0030533,13,5.209747455955949
2020_17_MIA_BUF,BUF,00-0034857,27,11.18259647313971
2020_17_MIA_BUF,MIA,00-0036212,62,-10.05690377884501
2020_17_MIA_BUF,MIA,00-0036364,1,2.3460596356308088
2020_17_MIN_DET,DET,00-0026498,36,9.218605928196903
2020_17_MIN_DET,MIN,00-0029604,43,18.675098584590963
2020_17_NO_CAR,CAR,00-0031237,25,-8.819699364335975
